mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
adc,,0,83,,,1,1,,,,2,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,4,36,8,21,,,,
sbb,,0,83,,,1,1,,,,3,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,4,36,8,21,,,,
and,,0,83,,,1,1,,,,4,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,4,36,8,21,,,,
sub,,0,83,,,1,1,,,,5,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,4,36,8,21,,,,
xor,,0,83,,,1,1,,,,6,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,4,36,8,21,,,,
cmp,,0,83,,,1,1,,,,7,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,4,36,8,21,,,,
test,,0,84,,,0,,0,,,,,,,,,,,,gen,arith,binary,,oszapc,oszpc,a,oc,,Logical Compare,4,1,6,1,,,,
test,,0,85,,,1,,0,,,,,,,,,,,,gen,arith,binary,,oszapc,oszpc,a,oc,,Logical Compare,4,36,6,36,,,,
xchg,,0,86,,,0,,1,,,,,,yes,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,6,1,4,1,,,,
xchg,,0,87,,,1,,1,,,,,,yes,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,6,36,4,36,,,,
mov,,0,88,,,0,,0,,,,,,,,,,,,gen,datamov,,,,,,,,Move,4,1,6,1,,,,
mov,,0,89,,,1,,0,,,,,,,,,,,,gen,datamov,,,,,,,,Move,4,36,6,36,,,,
mov,,0,8A,,,0,,1,,,,,,,,,,,,gen,datamov,,,,,,,,Move,6,1,4,1,,,,
mov,,0,8B,,,0,,1,,,,,,,,,,,,gen,datamov,,,,,,,,Move,6,36,4,36,,,,
mov,,0,8C,,,,,0,,,,,,,,,,,,gen,datamov,,,,,,,,Move,11,16,17,16,,,,
mov,,0,8C,,,,,0,,,,,,,,,,,,gen,datamov,,,,,,,,Move,16,36,17,16,,,,
lea,,0,8D,,,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Load Effective Address,6,36,11,,,,,
mov,,0,8E,,,,,1,,,,,,,,,,,,gen,datamov,,,,,,,,Move,17,16,4,16,,,,
pop,,0,8F,,,1,,,,,0,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,4,15,,,,,,
pop,,0,8F,,,1,,,,,0,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,4,48,,,,,,
xchg,,0,90,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,91,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,92,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,93,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,94,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,95,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,96,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
xchg,,0,97,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Exchange Register/Memory with Register,23,36,105,36,,,,
nop,,0,90,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,91,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,92,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,93,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,94,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,95,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,96,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,,0,97,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,90,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,91,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,92,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,93,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,94,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,95,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,96,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
nop,F3,0,97,,1,,,,,,,,,,,,,,,gen,control,,,,,,,,No Operation,,,,,,,,
pause,F3,0,90,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,91,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,92,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,93,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,94,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,95,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,96,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
pause,F3,0,97,,1,,,,,,,,,,,,,,sse2,cachect,,,,,,,,,Spin Loop Hint,,,,,,,,
cbw,,0,98,,,,,,,,,,,,,,,,,gen,conver,,,,,,,,Convert Byte to Word,,,,,,,,
cwde,,0,98,,,,,,,,,,,,,,,,,gen,conver,,,,,,,,Convert Word to Doubleword,,,,,,,,
cbw,,0,98,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
cwde,,0,98,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
cdqe,,0,98,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
cwd,,0,99,,,,,,,,,,,,,,,,,gen,conver,,,,,,,,Convert Word to Doubleword,,,,,,,,
cdq,,0,99,,,,,,,,,,,,,,,,,gen,conver,,,,,,,,Convert Doubleword to Quadword,,,,,,,,
cwd,,0,99,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
cdq,,0,99,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
cqo,,0,99,,,,,,,,,e,,,,,,,,gen,conver,,,,,,,,Convert,,,,,,,,
callf,,0,9A,,,,,,,,,,,,,,,,,gen,branchstack,,,,,,,32,Call Procedure,0,5,,,,,,
fwait,,0,9B,,,,,,,,,,,,,,,,,x87fpu,control,,,,,,,,Check pending unmasked floating-point exceptions,,,,,,,,
wait,,0,9B,,,,,,,,,,,,,,,,,x87fpu,control,,,,,,,,Check pending unmasked floating-point exceptions,,,,,,,,
pushf,,0,9C,,,,,,,,,,,,,,,,,gen,stackflgctrl,,,,,,,,Push FLAGS Register onto the Stack,,,,,,,,
pushfd,,0,9C,,,,,,,,,,,,,,,,,gen,stackflgctrl,,,,,,,,Push eFLAGS Register onto the Stack,,,,,,,,
pushf,,0,9C,,,,,,,,,e,,,,,,,,gen,stackflgctrl,,,,,,,,Push rFLAGS Register onto the Stack,,,,,,,,
pushfq,,0,9C,,,,,,,,,e,,,,,,,,gen,stackflgctrl,,,,,,,,Push rFLAGS Register onto the Stack,,,,,,,,
popf,,0,9D,,,,,,,,,,,,,,,,,gen,stackflgctrl,,,,,,,,Pop Stack into FLAGS Register,,,,,,,,
popfd,,0,9D,,,,,,,,,,,,,,,,,gen,stackflgctrl,,,,,,,,Pop Stack into eFLAGS Register,,,,,,,,
popf,,0,9D,,,,,,,,,e,,,,,,,,gen,stackflgctrl,,,,,,,,Pop Stack into rFLAGS Register,,,,,,,,
popfq,,0,9D,,,,,,,,,e,,,,,,,,gen,stackflgctrl,,,,,,,,Pop Stack into rFLAGS Register,,,,,,,,
sahf,,0,9E,,,,,,,,,,,,,,,,,gen,datamovflgctrl,,,szapc,szapc,,,,Store AH into Flags,,,,,,,,
lahf,,0,9F,,,,,,,,,,,,,,,,,gen,datamovflgctrl,,szapc,,,,,,Load Status Flags into AH Register,,,,,,,,
mov,,0,A0,,,0,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,102,1,13,1,,,,
mov,,0,A1,,,1,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,105,36,13,36,,,,
mov,,0,A2,,,0,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,13,1,102,1,,,,
mov,,0,A3,,,1,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,13,36,105,36,,,,
movs,,0,A4,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,22,1,21,1,,,,
movsb,,0,A4,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
movs,,0,A5,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,22,42,21,42,,,,
movsw,,0,A5,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
movs,,0,A5,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,22,15,21,15,,,,
movsd,,0,A5,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
movs,,0,A5,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,22,36,21,36,,,,
movsw,,0,A5,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
movsd,,0,A5,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
movsq,,0,A5,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Move Data from String to String,,,,,,,,
cmps,,0,A6,,,0,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,22,1,21,1,,,,
cmpsb,,0,A6,,,0,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
cmps,,0,A7,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,22,42,21,42,,,,
cmpsw,,0,A7,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
cmps,,0,A7,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,22,15,21,15,,,,
cmpsd,,0,A7,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
cmps,,0,A7,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,22,36,21,36,,,,
cmpsw,,0,A7,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
cmpsd,,0,A7,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
cmpsq,,0,A7,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Compare String Operands,,,,,,,,
test,,0,A8,,,0,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,102,1,8,1,,,,
test,,0,A9,,,1,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Compare,105,36,8,35,,,,
stos,,0,AA,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,22,1,,,,,,
stosb,,0,AA,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
stos,,0,AB,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,22,42,,,,,,
stosw,,0,AB,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
stos,,0,AB,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,22,15,,,,,,
stosd,,0,AB,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
stos,,0,AB,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Store String,22,36,,,,,,
stosw,,0,AB,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
stosd,,0,AB,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
stosq,,0,AB,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Store String,,,,,,,,
lods,,0,AC,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,21,1,,,,,,
lodsb,,0,AC,,,0,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
lods,,0,AD,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,21,42,,,,,,
lodsw,,0,AD,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
lods,,0,AD,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,21,15,,,,,,
lodsd,,0,AD,,,1,,,,,,,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
lods,,0,AD,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Load String,21,36,,,,,,
lodsw,,0,AD,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
lodsd,,0,AD,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
lodsq,,0,AD,,,1,,,,,,e,,,,,,,,gen,datamovstring,,d,,,,,,Load String,,,,,,,,
scas,,0,AE,,,0,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,22,1,,,,,,
scasb,,0,AE,,,0,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
scas,,0,AF,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,22,42,,,,,,
scasw,,0,AF,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
scas,,0,AF,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,22,15,,,,,,
scasd,,0,AF,,,1,,,,,,,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
scas,,0,AF,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,22,36,,,,,,
scasw,,0,AF,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
scasd,,0,AF,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
scasq,,0,AF,,,1,,,,,,e,,,,,,,,gen,arithstring,binary,d,oszapc,oszapc,,,,Scan String,,,,,,,,
mov,,0,b0,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b1,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b2,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b3,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b4,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b5,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b6,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b7,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,1,8,1,,,,
mov,,0,b8,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,b9,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,ba,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,bb,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,bc,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,bd,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,be,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
mov,,0,bf,,1,,,,,,,,,,,,,,,gen,datamov,,,,,,,,Move,23,36,8,36,,,,
rol,,0,C0,,,0,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,1,8,1,,,,
ror,,0,C0,,,0,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,1,8,1,,,,
rcl,,0,C0,,,0,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,1,8,1,,,,
rcr,,0,C0,,,0,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,1,8,1,,,,
shl,,0,C0,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,8,1,,,,
sal,,0,C0,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,8,1,,,,
shr,,0,C0,,,0,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,8,1,,,,
sal,,0,C0,,,0,,,,,6,,,,,,C0_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,8,1,,,,
shl,,0,C0,,,0,,,,,6,,,,,,C0_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,8,1,,,,
sar,,0,C0,,,0,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oa,,,Shift,4,1,8,1,,,,
rol,,0,C1,,,1,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,36,8,1,,,,
ror,,0,C1,,,1,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,36,8,1,,,,
rcl,,0,C1,,,1,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,36,8,1,,,,
rcr,,0,C1,,,1,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,36,8,1,,,,
shl,,0,C1,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,8,1,,,,
sal,,0,C1,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,8,1,,,,
shr,,0,C1,,,1,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,8,1,,,,
sal,,0,C1,,,0,,,,,6,,,,,,C1_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,8,1,,,,
shl,,0,C1,,,0,,,,,6,,,,,,C1_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,36,8,1,,,,
sar,,0,C1,,,1,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oa,,,Shift,4,36,8,1,,,,
retn,,0,C2,,,,,,,,,,,,,,,,,gen,branchstack,,,,,,,,Return from procedure,8,16,,,,,,
retn,,0,C3,,,,,,,,,,,,,,,,,gen,branchstack,,,,,,,,Return from procedure,,,,,,,,
les,,0,C4,,,,,,,,,,,,,,,,,gen,datamovsegreg,,,,,,,32,Load Far Pointer,6,15,11,5,,,,
lds,,0,C5,,,,,,,,,,,,,,,,,gen,datamovsegreg,,,,,,,32,Load Far Pointer,6,15,11,5,,,,
mov,,0,C6,,,0,,,,,0,,,,,,,,,gen,datamov,,,,,,,,Move,4,1,8,1,,,,
mov,,0,C7,,,1,,,,,0,,,,,,,,,gen,datamov,,,,,,,,Move,4,36,8,35,,,,
enter,,0,C8,,,,,,,,,,,,,,,,,gen,stack,,,,,,,,Make Stack Frame for Procedure Parameters,8,16,8,1,,,,
enter,,0,C8,,,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Make Stack Frame for Procedure Parameters,8,16,8,1,,,,
leave,,0,C9,,,,,,,,,,,,,,,,,gen,stack,,,,,,,,High Level Procedure Exit,,,,,,,,
leave,,0,C9,,,,,,,,,e,,,,,,,,gen,stack,,,,,,,,High Level Procedure Exit,,,,,,,,
retf,,0,CA,,,,,,,,,,f,,,,,,,gen,branchstack,,,,,,,,Return from procedure,8,16,,,,,,
retf,,0,CB,,,,,,,,,,f,,,,,,,gen,branchstack,,,,,,,,Return from procedure,,,,,,,,
int,,0,CC,,,,,,,,,,f,,,,CD,,,gen,breakstack,,,i,i,,i,,Call to Interrupt Procedure,,,,,,,,
int,,0,CD,,,,,,,,,,f,,,,,,,gen,breakstack,,,i,i,,i,,Call to Interrupt Procedure,8,1,,,,,,
into,,0,CE,,,,,,,,,,f,,,,,,,gen,breakstack,,o,i,i,,i,32,Call to Interrupt Procedure,,,,,,,,
iret,,0,CF,,,,,,,,,,f,,,,,,,gen,breakstack,,,,,,,,Interrupt Return,,,,,,,,
iretd,,0,CF,,,,,,,,,,f,,,,,,,gen,breakstack,,,,,,,,Interrupt Return,,,,,,,,
iret,,0,CF,,,,,,,,,e,f,,,,,,,gen,breakstack,,,,,,,,Interrupt Return,,,,,,,,
iretd,,0,CF,,,,,,,,,e,f,,,,,,,gen,breakstack,,,,,,,,Interrupt Return,,,,,,,,
iretq,,0,CF,,,,,,,,,e,f,,,,,,,gen,breakstack,,,,,,,,Interrupt Return,,,,,,,,
rol,,0,D0,,,0,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,,,,Rotate,4,1,,,,,,
ror,,0,D0,,,0,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,,,,Rotate,4,1,,,,,,
rcl,,0,D0,,,0,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,,,,Rotate,4,1,,,,,,
rcr,,0,D0,,,0,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,,,,Rotate,4,1,,,,,,
shl,,0,D0,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
sal,,0,D0,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
shr,,0,D0,,,0,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
sal,,0,D0,,,0,,,,,6,,,,,,D0_4,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
shl,,0,D0,,,0,,,,,6,,,,,,D0_4,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
sar,,0,D0,,,0,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,1,,,,,,
rol,,0,D1,,,1,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,,,,Rotate,4,36,,,,,,
ror,,0,D1,,,1,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,,,,Rotate,4,36,,,,,,
rcl,,0,D1,,,1,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,,,,Rotate,4,36,,,,,,
rcr,,0,D1,,,1,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,,,,Rotate,4,36,,,,,,
shl,,0,D1,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
sal,,0,D1,,,1,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
shr,,0,D1,,,1,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
sal,,0,D1,,,1,,,,,6,,,,,,D1_4,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
shl,,0,D1,,,1,,,,,6,,,,,,D1_4,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
sar,,0,D1,,,1,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,a,,,Shift,4,36,,,,,,
rol,,0,D2,,,0,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,1,302,1,,,,
ror,,0,D2,,,0,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,1,302,1,,,,
rcl,,0,D2,,,0,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,1,302,1,,,,
rcr,,0,D2,,,0,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,1,302,1,,,,
shl,,0,D2,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,302,1,,,,
sal,,0,D2,,,0,,,,,4,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,302,1,,,,
shr,,0,D2,,,0,,,,,5,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,302,1,,,,
sal,,0,D2,,,0,,,,,6,,,,,,D2_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,302,1,,,,
shl,,0,D2,,,0,,,,,6,,,,,,D2_4,,,gen,shftrot,,,oszapc,oszpc,oac,,,Shift,4,1,302,1,,,,
sar,,0,D2,,,0,,,,,7,,,,,,,,,gen,shftrot,,,oszapc,oszpc,oa,,,Shift,4,1,302,1,,,,
rol,,0,D3,,,1,,,,,0,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,36,302,1,,,,
ror,,0,D3,,,1,,,,,1,,,,,,,,,gen,shftrot,,,oszapc,oszapc,o,,,Rotate,4,36,302,1,,,,
rcl,,0,D3,,,1,,,,,2,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,36,302,1,,,,
rcr,,0,D3,,,1,,,,,3,,,,,,,,,gen,shftrot,,c,oszapc,oszapc,o,,,Rotate,4,36,302,1,,,,
